"","x","value","value.1","data1[, 3] * 10"
"327",27,-0.48884,0.01447,0.1447
"328",28,-0.61434,0.0043934,0.043934
"329",29,-0.74638,0.010823,0.10823
"330",30,-0.33338,0.0073545,0.073545
"331",31,-0.37185,0.0011821,0.011821
"332",32,-0.71167,0.014341,0.14341
"333",33,-0.76619,0.016958,0.16958
"334",34,-0.41391,0.0023978,0.023978
"335",35,-0.3903,0.016313,0.16313
"336",36,-0.59854,0.0027021,0.027021
"337",37,-0.48784,0.0019706,0.019706
"338",38,-0.40568,0.013542,0.13542
"339",39,-0.92455,0.0027401,0.027401
"340",40,-0.36656,0.0095798,0.095798
"341",41,-0.40518,0.0098163,0.098163
"342",42,-0.079665,7.1838e-05,0.00071838
"343",43,-0.27985,0.001669,0.01669
"344",44,0.046456,0.0015082,0.015082
"345",45,-1.4836,0.0031458,0.031458
"346",46,-0.62207,0.015516,0.15516
"347",47,-0.84628,0.019425,0.19425
"348",48,-0.84029,0.00090457,0.0090457
"349",49,-0.30222,0.0096599,0.096599
"350",50,-0.67665,0.009568,0.09568
"351",51,0.85809,0.0034225,0.034225
"352",52,-0.024863,0.011937,0.11937
"353",53,0.083211,0.0089031,0.089031
"354",54,0.02551,0.0083623,0.083623
"355",55,-0.29502,0.0073429,0.073429
"356",56,-0.4002,0.0064723,0.064723
"357",57,-0.37119,0.013029,0.13029
"358",58,-0.25032,0.0014535,0.014535
"359",59,-0.22067,0.0082689,0.082689
"360",60,0.013548,0.0041792,0.041792
"361",61,-0.66184,0.0038351,0.038351
"362",62,-0.1328,0.0013639,0.013639
"363",63,0.10073,0.0031064,0.031064
"364",64,0.33612,0.00011636,0.0011636
"365",65,0.37662,0.0087924,0.087924
"366",66,0.045687,0.00075794,0.0075794
"367",67,-0.0789,0.009511,0.09511
"368",68,-0.20721,0.0021477,0.021477
"369",69,-0.23242,0.0116,0.116
"370",70,0.11787,0.005481,0.05481
"371",71,-0.44235,0.00014279,0.0014279
"372",72,0.22064,0.00080734,0.0080734
"373",73,-0.22375,0.010503,0.10503
"374",74,-0.77008,0.0069906,0.069906
"375",75,-1.1875,0.0010073,0.010073
"376",76,-1.3829,0.0086478,0.086478
"377",77,-1.0746,0.0016939,0.016939
"378",78,-1.424,0.012353,0.12353
"379",79,-2.0113,0.0078376,0.078376
"380",80,-1.6846,0.014121,0.14121
"381",81,-1.3064,0.0011474,0.011474
"382",82,-1.6718,0.0082151,0.082151
"383",83,-1.9358,0.001505,0.01505
"384",84,-0.48299,0.021538,0.21538
"385",85,-0.8282,0.0037211,0.037211
"386",86,-0.7935,0.0011473,0.011473
"387",87,-1.1733,0.0063509,0.063509
"388",88,-1.3758,0.0070884,0.070884
"389",89,-0.80738,0.0059251,0.059251
"390",90,-0.63453,0.0083692,0.083692
"391",91,-0.98757,0.001922,0.01922
"392",92,-0.72351,0.0079451,0.079451
"393",93,-1.2226,0.0043672,0.043672
"394",94,-1.1387,0.0011767,0.011767
"395",95,-1.3769,0.0075109,0.075109
"396",96,-1.8604,0.0068441,0.068441
"397",97,-1.849,0.0070924,0.070924
"398",98,-2.1651,0.0074236,0.074236
"399",99,-1.9981,0.010889,0.10889
"400",100,-2.1599,0.0096504,0.096504
"401",1,0.044008,0.012663,0.12663
"402",2,-0.47954,0.00088349,0.0088349
"403",3,-0.22229,0.0037585,0.037585
"404",4,0.28523,0.012642,0.12642
"405",5,0.04795,0.02002,0.2002
"406",6,-0.17597,0.006731,0.06731
"407",7,-0.031561,0.012952,0.12952
"408",8,-0.05136,0.0043171,0.043171
"409",9,0.21882,0.017201,0.17201
"410",10,-0.0099385,0.0013779,0.013779
"411",11,0.22911,0.014146,0.14146
"412",12,-0.42791,0.0078008,0.078008
"413",13,-0.044279,0.0011832,0.011832
"414",14,-0.24638,0.00082656,0.0082656
"415",15,-0.16524,0.0028054,0.028054
"416",16,0.17417,0.019221,0.19221
"417",17,0.47015,0.0067512,0.067512
"418",18,0.70396,0.0036461,0.036461
"419",19,0.035366,0.012832,0.12832
"420",20,-0.16293,0.0011434,0.011434
"421",21,0.54027,0.0020758,0.020758
"422",22,0.16647,0.010696,0.10696
"423",23,0.32659,0.010996,0.10996
"424",24,0.043046,0.0029391,0.029391
"425",25,0.12204,0.014459,0.14459
"426",26,0.18393,0.0079903,0.079903
"427",27,-0.48884,0.01447,0.1447
"428",28,-0.53557,0.0034976,0.034976
"429",29,-0.43609,0.010784,0.10784
"430",30,-0.26196,0.0027899,0.027899
"431",31,-0.58766,0.0022634,0.022634
"432",32,-0.67183,0.014381,0.14381
"433",33,-0.38903,0.0069183,0.069183
"434",34,-0.30599,0.0002542,0.002542
"435",35,-0.62494,0.007396,0.07396
"436",36,-0.24365,0.009394,0.09394
"437",37,-0.14218,0.0091291,0.091291
"438",38,0.02215,0.0058296,0.058296
"439",39,-0.69056,0.010939,0.10939
"440",40,-0.67466,0.0039787,0.039787
"441",41,0.10719,0.0015955,0.015955
"442",42,-0.30502,0.0046026,0.046026
"443",43,-0.31136,0.010558,0.10558
"444",44,-0.79338,0.0073978,0.073978
"445",45,-0.9942,0.021535,0.21535
"446",46,-1.0774,0.0015969,0.015969
"447",47,-0.41383,0.00347,0.0347
"448",48,-0.9789,0.0010159,0.010159
"449",49,-0.24801,0.0047976,0.047976
"450",50,-0.29468,0.0017221,0.017221
"451",51,-0.26431,0.023474,0.23474
"452",52,0.41591,0.0028424,0.028424
"453",53,0.16895,0.0076265,0.076265
"454",54,0.021512,0.0065277,0.065277
"455",55,0.14616,0.010961,0.10961
"456",56,-0.26816,0.018877,0.18877
"457",57,-0.2142,0.011642,0.11642
"458",58,-0.25722,0.017274,0.17274
"459",59,-0.63129,0.0058302,0.058302
"460",60,-0.57376,0.013038,0.13038
"461",61,-0.04207,0.015753,0.15753
"462",62,0.25429,0.013961,0.13961
"463",63,0.10788,0.0019684,0.019684
"464",64,0.37626,0.0060297,0.060297
"465",65,0.22193,0.0086526,0.086526
"466",66,-0.014306,0.020172,0.20172
"467",67,-0.36564,0.011507,0.11507
"468",68,0.21163,0.01536,0.1536
"469",69,-0.14965,0.0080093,0.080093
"470",70,0.5434,0.0025585,0.025585
"471",71,0.23185,0.0077537,0.077537
"472",72,0.062588,0.0072258,0.072258
"473",73,-0.66876,0.0015042,0.015042
"474",74,-0.64789,0.0098333,0.098333
"475",75,-0.98556,0.0025719,0.025719
"476",76,-1.6269,0.0086066,0.086066
"477",77,-1.343,0.014637,0.14637
"478",78,-1.0136,0.00201,0.0201
"479",79,-1.6444,0.0166,0.166
"480",80,-1.5262,0.012432,0.12432
"481",81,-1.3002,0.0039633,0.039633
"482",82,-2.2703,0.010434,0.10434
"483",83,-1.5671,0.012531,0.12531
"484",84,-0.62229,0.010514,0.10514
"485",85,-1.2049,0.0027474,0.027474
"486",86,-1.2852,0.013342,0.13342
"487",87,-0.9206,0.0045854,0.045854
"488",88,-1.38,0.0046551,0.046551
"489",89,-0.82791,0.015887,0.15887
"490",90,-1.0186,0.011401,0.11401
"491",91,-0.74858,0.021722,0.21722
"492",92,-0.92101,0.010799,0.10799
"493",93,-1.775,0.014623,0.14623
"494",94,-1.5817,0.012206,0.12206
"495",95,-1.8865,0.0045346,0.045346
"496",96,-1.3762,0.0031496,0.031496
"497",97,-2.0334,0.01069,0.1069
"498",98,-2.0966,0.0097655,0.097655
"499",99,-2.3712,0.0065089,0.065089
"500",100,-2.2827,0.013659,0.13659
"501",1,-0.59257,0.0015505,0.015505
"502",2,-0.12043,0.015008,0.15008
"503",3,-0.47106,0.010736,0.10736
"504",4,-0.21449,0.0081366,0.081366
"505",5,-0.29208,0.0015993,0.015993
"506",6,-0.16461,0.015603,0.15603
"507",7,-0.59548,0.0074856,0.074856
"508",8,0.086052,0.0073838,0.073838
"509",9,0.17173,0.010128,0.10128
"510",10,0.051374,0.00098876,0.0098876
"511",11,0.22588,0.014229,0.14229
"512",12,0.45291,0.0022132,0.022132
"513",13,-0.52738,0.020028,0.20028
"514",14,0.12281,0.0048082,0.048082
"515",15,0.03755,0.0017234,0.017234
"516",16,0.047258,0.0013094,0.013094
"517",17,0.20666,0.0099213,0.099213
"518",18,0.22727,0.00043419,0.0043419
"519",19,0.46253,0.003483,0.03483
"520",20,0.55505,0.017702,0.17702
"521",21,0.34067,0.0094013,0.094013
"522",22,0.23015,0.010486,0.10486
"523",23,0.16919,0.0037642,0.037642
"524",24,0.11527,0.01378,0.1378
"525",25,-0.50189,0.0017716,0.017716
"526",26,-0.14519,0.0037521,0.037521
"527",27,-0.1561,0.0093936,0.093936
"528",28,-1.0874,0.0030763,0.030763
"529",29,-0.3379,0.012228,0.12228
"530",30,-0.57102,0.0041054,0.041054
"531",31,-0.4638,0.0010177,0.010177
"532",32,-0.69654,0.0050993,0.050993
"533",33,-0.57879,0.0042445,0.042445
"534",34,-0.90491,0.0032189,0.032189
"535",35,0.098188,0.0052,0.052
"536",36,-0.43584,0.0049153,0.049153
"537",37,-0.40093,0.0017595,0.017595
"538",38,-0.45705,0.010066,0.10066
"539",39,0.19957,0.002793,0.02793
"540",40,-0.34067,0.011939,0.11939
"541",41,0.14039,0.0045105,0.045105
"542",42,-0.30502,0.0046026,0.046026
"543",43,-0.31136,0.010558,0.10558
"544",44,-0.75449,0.011801,0.11801
"545",45,-0.48955,0.0027502,0.027502
"546",46,-0.79151,0.0033546,0.033546
"547",47,-0.41253,0.0071719,0.071719
"548",48,-0.63019,0.0097312,0.097312
"549",49,-0.57849,0.014251,0.14251
"550",50,-0.13847,0.0075199,0.075199
"551",51,-0.31234,0.00085489,0.0085489
"552",52,-0.29909,0.00026355,0.0026355
"553",53,0.29156,0.0058087,0.058087
"554",54,0.050582,0.011383,0.11383
"555",55,-0.2824,0.015821,0.15821
"556",56,-0.4534,0.0022693,0.022693
"557",57,-0.47286,0.0019085,0.019085
"558",58,0.43476,0.0027139,0.027139
"559",59,-0.43747,0.0077939,0.077939
"560",60,-0.57376,0.013038,0.13038
"561",61,-0.097988,0.016373,0.16373
"562",62,0.029709,0.0072913,0.072913
"563",63,0.6322,0.019336,0.19336
"564",64,0.053243,0.0052094,0.052094
"565",65,0.79873,0.0087876,0.087876
"566",66,0.38029,0.00019419,0.0019419
"567",67,-0.36564,0.011507,0.11507
"568",68,0.21163,0.01536,0.1536
"569",69,-0.24718,0.0042904,0.042904
"570",70,-0.32885,0.00076613,0.0076613
"571",71,-0.005803,0.0033935,0.033935
"572",72,0.17264,0.0058709,0.058709
"573",73,-0.22375,0.010503,0.10503
"574",74,-0.078772,0.0051948,0.051948
"575",75,-0.87304,0.0011197,0.011197
"576",76,-1.1495,0.011127,0.11127
"577",77,-1.2124,0.013799,0.13799
"578",78,-2.0589,0.010808,0.10808
"579",79,-1.487,0.0069392,0.069392
"580",80,-0.98161,0.0055418,0.055418
"581",81,-1.9553,0.0097132,0.097132
"582",82,-1.6091,0.0047642,0.047642
"583",83,-1.567,0.0078283,0.078283
"584",84,-0.48299,0.021538,0.21538
"585",85,-0.96886,0.022578,0.22578
"586",86,-1.2761,0.012945,0.12945
"587",87,-0.9206,0.0045854,0.045854
"588",88,-1.461,0.0062404,0.062404
"589",89,-1.3737,0.0022796,0.022796
"590",90,-1.0661,0.0077686,0.077686
"591",91,-0.75144,0.0099418,0.099418
"592",92,-0.85103,0.020627,0.20627
"593",93,-1.741,0.019014,0.19014
"594",94,-1.3605,0.004235,0.04235
"595",95,-1.3769,0.0075109,0.075109
"596",96,-1.6224,0.0086537,0.086537
"597",97,-2.0196,0.0037572,0.037572
"598",98,-1.9758,0.008326,0.08326
"599",99,-2.0386,0.010779,0.10779
"600",100,-2.2793,0.010372,0.10372
"601",1,-0.80094,0.0017005,0.017005
"602",2,0.44591,0.00096128,0.0096128
