"","x","value","value.1","data1[, 3] * 10"
"257",57,0.35747,0.00021663,0.0021663
"258",58,0.56325,6.4992e-05,0.00064992
"259",59,-1.0846,0.00097656,0.0097656
"260",60,-1.4934,5.8343e-05,0.00058343
"261",61,-1.3335,4.8785e-07,4.8785e-06
"262",62,-1.5485,4.4351e-14,4.4351e-13
"263",63,-1.5061,8.5212e-21,8.5212e-20
"264",64,0.21332,0.00097656,0.0097656
"265",65,0.089672,0.00042982,0.0042982
"266",66,-1.0809,0.00097656,0.0097656
"267",67,-1.0563,0.00021058,0.0021058
"268",68,-0.30647,0.00097656,0.0097656
"269",69,-0.28792,0.00018625,0.0018625
"270",70,0.14848,0.00097656,0.0097656
"271",71,0.16899,1.2651e-05,0.00012651
"272",72,0.097959,1.6957e-07,1.6957e-06
"273",73,-0.57842,0.00097656,0.0097656
"274",74,-0.48328,0.00012683,0.0012683
"275",75,-1.2419,0.00097656,0.0097656
"276",76,-0.96498,0.00052615,0.0052615
"277",77,-0.7686,0.00022954,0.0022954
"278",78,-0.84047,1.997e-05,0.0001997
"279",79,-0.90392,2.4104e-06,2.4104e-05
"280",80,-0.91268,8.8422e-07,8.8422e-06
"281",81,-1.605,0.00097656,0.0097656
"282",82,-1.6808,0.00057821,0.0057821
"283",83,-2.0819,0.00010751,0.0010751
"284",84,-0.55917,0.00097656,0.0097656
"285",85,-1.6115,0.00097656,0.0097656
"286",86,-1.822,0.0010177,0.010177
"287",87,-1.8296,0.00040135,0.0040135
"288",88,-1.5333,0.00023506,0.0023506
"289",89,-1.4038,0.00097656,0.0097656
"290",90,-1.0441,0.0015028,0.015028
"291",91,-0.74588,0.00072349,0.0072349
"292",92,-0.66226,9.413e-05,0.0009413
"293",93,-2.1334,0.00097656,0.0097656
"294",94,-2.0666,0.00038934,0.0038934
"295",95,-1.6242,0.00077047,0.0077047
"296",96,-1.9256,0.0017284,0.017284
"297",97,-2.138,0.0026565,0.026565
"298",98,-1.9151,0.0024574,0.024574
"299",99,-1.6034,0.0022273,0.022273
"300",100,-1.545,0.0005664,0.005664
"301",1,1.2174,1.9557e-07,1.9557e-06
"302",2,0.19943,0.00097656,0.0097656
"303",3,0.065537,9.2822e-06,9.2822e-05
"304",4,-0.22325,2.4956e-06,2.4956e-05
"305",5,0.044268,0.00097656,0.0097656
"306",6,0.2503,0.00010195,0.0010195
"307",7,0.43651,0.00011967,0.0011967
"308",8,0.15204,0.00013654,0.0013654
"309",9,1.1592,0.00097656,0.0097656
"310",10,1.3768,2.3849e-07,2.3849e-06
"311",11,-0.75717,0.00097656,0.0097656
"312",12,-0.44441,0.00034046,0.0034046
"313",13,-0.55843,5.6519e-05,0.00056519
"314",14,0.78047,0.00097656,0.0097656
"315",15,0.39118,0.00097656,0.0097656
"316",16,0.86743,0.00013504,0.0013504
"317",17,0.67902,0.00097656,0.0097656
"318",18,0.66945,0.0002661,0.002661
"319",19,0.56718,4.8954e-05,0.00048954
"320",20,0.6839,0.00097656,0.0097656
"321",21,0.24685,2.2616e-05,0.00022616
"322",22,0.18286,1.3228e-06,1.3228e-05
"323",23,-0.19394,0.00097656,0.0097656
"324",24,0.36276,0.0053465,0.053465
"325",25,0.83391,0.00097656,0.0097656
"326",26,0.66895,1.8452e-07,1.8452e-06
"327",27,0.35091,1.2737e-09,1.2737e-08
"328",28,0.12304,8.3839e-11,8.3839e-10
"329",29,-0.5865,0.00097656,0.0097656
"330",30,-0.36894,0.00049653,0.0049653
"331",31,-0.59798,0.00097656,0.0097656
"332",32,-0.66117,0.00023068,0.0023068
"333",33,-0.90807,0.00097656,0.0097656
"334",34,-0.87952,0.00074176,0.0074176
"335",35,-0.67065,0.00015669,0.0015669
"336",36,-0.94938,1.1704e-06,1.1704e-05
"337",37,-1.2794,2.8923e-06,2.8923e-05
"338",38,-0.71962,0.00097656,0.0097656
"339",39,-0.70999,0.0017731,0.017731
"340",40,-0.043082,0.00097656,0.0097656
"341",41,0.13134,3.3615e-05,0.00033615
"342",42,-0.3248,0.00097656,0.0097656
"343",43,-0.13941,0.0016658,0.016658
"344",44,0.29563,0.0011368,0.011368
"345",45,0.091347,4.7946e-05,0.00047946
"346",46,-0.40062,0.00097656,0.0097656
"347",47,-0.35189,6.0869e-05,0.00060869
"348",48,-0.5761,5.0436e-05,0.00050436
